"Name","Abundance in Blood (uM)","Melting Point (°C)","Boiling Point (°C)","Solubility (mg/mL)","LogP","Monoisotopic Molecular Weight (Da)"
"DG(14:0/16:0/0:0)","0.58 +/- 0.21","N/A","N/A","2.180E-05 g/L","9.59","540.475375158"
"DG(14:0/16:1(9Z)/0:0)","0.231 +/- 0.054","N/A","N/A","2.300E-05 g/L","9.46","538.459725094"
"DG(14:0/18:0/0:0)","1.42 +/- 0.42","N/A","N/A","2.030E-05 g/L","9.91","568.506675286"
"DG(14:0/18:1(11Z)/0:0)","1.07 +/- 0.14","N/A","N/A","1.970E-05 g/L","9.81","566.491025222"
"DG(14:0/18:1(9Z)/0:0)","1.07 +/- 0.14","N/A","N/A","1.960E-05 g/L","9.82","566.491025222"
"DG(14:0/18:2(9Z,12Z)/0:0)","0.415 +/- 0.069","N/A","N/A","1.540E-05 g/L","9.66","564.475375158"
"DG(14:0/18:3(6Z,9Z,12Z)/0:0)","0.060 +/- 0.024","N/A","N/A","1.880E-05 g/L","9.36","562.459725094"
"DG(14:0/18:3(9Z,12Z,15Z)/0:0)","0.060 +/- 0.024","N/A","N/A","1.930E-05 g/L","9.34","562.459725094"
"DG(14:0/20:0/0:0)","1.37 +/- 0.53","N/A","N/A","1.790E-05 g/L","10.16","596.537975414"
"DG(14:0/20:1(11Z)/0:0)","3.87 +/- 0.62","N/A","N/A","1.700E-05 g/L","10.10","594.52232535"
"DG(14:0/20:2(11Z,14Z)/0:0)","2.82 +/- 0.36","N/A","N/A","1.410E-05 g/L","9.99","592.506675286"
"DG(14:0/20:3(5Z,8Z,11Z)/0:0)","1.65 +/- 0.17","N/A","N/A","1.310E-05 g/L","9.84","590.491025222"
"DG(14:0/20:3(8Z,11Z,14Z)/0:0)","1.65 +/- 0.17","N/A","N/A","1.420E-05 g/L","9.77","590.491025222"
"DG(14:0/20:4(5Z,8Z,11Z,14Z)/0:0)","0.173 +/- 0.081","N/A","N/A","2.010E-05 g/L","9.48","588.475375158"
"DG(14:0/20:4(8Z,11Z,14Z,17Z)/0:0)","0.173 +/- 0.081","N/A","N/A","2.120E-05 g/L","9.41","588.475375158"
"DG(14:0/22:0/0:0)","0.69 +/- 0.19","N/A","N/A","1.660E-05 g/L","10.37","624.569275542"
"DG(14:0/22:1(13Z)/0:0)","1.24 +/- 0.33","N/A","N/A","1.590E-05 g/L","10.34","622.553625478"
"DG(14:0/22:2(13Z,16Z)/0:0)","4.06 +/- 0.54","N/A","N/A","1.270E-05 g/L","10.27","620.537975414"
"DG(14:0/22:4(7Z,10Z,13Z,16Z)/0:0)","5.28 +/- 0.65","N/A","N/A","1.760E-05 g/L","9.81","616.506675286"
"DG(14:0/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)","0.961 +/- 0.023","N/A","N/A","1.580E-05 g/L","9.41","614.491025222"
"DG(14:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","0.961 +/- 0.023","N/A","N/A","1.650E-05 g/L","9.31","614.491025222"
"DG(14:0/24:0/0:0)","0.003","N/A","N/A","1.560E-05 g/L","10.52","652.60057567"
"DG(14:0/24:1(15Z)/0:0)","0.013 +/- 0.005","N/A","N/A","1.540E-05 g/L","10.52","650.584925606"
"DG(14:1(9Z)/16:0/0:0)","0.231 +/- 0.054","N/A","N/A","2.280E-05 g/L","9.46","538.459725094"
"DG(14:1(9Z)/16:1(9Z)/0:0)","0.032 +/- 0.009","N/A","N/A","1.850E-05 g/L","9.22","536.44407503"
"DG(14:1(9Z)/18:0/0:0)","1.07 +/- 0.14","N/A","N/A","2.000E-05 g/L","9.82","566.491025222"
"DG(14:1(9Z)/18:1(11Z)/0:0)","0.415 +/- 0.069","N/A","N/A","1.580E-05 g/L","9.63","564.475375158"
"DG(14:1(9Z)/18:1(9Z)/0:0)","0.415 +/- 0.069","N/A","N/A","1.480E-05 g/L","9.64","564.475375158"
"DG(14:1(9Z)/18:2(9Z,12Z)/0:0)","0.060 +/- 0.024","N/A","N/A","1.910E-05 g/L","9.29","562.459725094"
"DG(14:1(9Z)/20:0/0:0)","3.87 +/- 0.62","N/A","N/A","1.710E-05 g/L","10.12","594.52232535"
"DG(14:1(9Z)/20:1(11Z)/0:0)","2.82 +/- 0.36","N/A","N/A","1.400E-05 g/L","9.98","592.506675286"
"DG(14:1(9Z)/20:2(11Z,14Z)/0:0)","1.65 +/- 0.17","N/A","N/A","1.360E-05 g/L","9.72","590.491025222"
"DG(14:1(9Z)/20:3(5Z,8Z,11Z)/0:0)","0.173 +/- 0.081","N/A","N/A","1.890E-05 g/L","9.44","588.475375158"
"DG(14:1(9Z)/20:3(8Z,11Z,14Z)/0:0)","0.173 +/- 0.081","N/A","N/A","1.910E-05 g/L","9.36","588.475375158"
"DG(14:1(9Z)/22:0/0:0)","1.24 +/- 0.33","N/A","N/A","1.610E-05 g/L","10.36","622.553625478"
"DG(14:1(9Z)/22:1(13Z)/0:0)","4.06 +/- 0.54","N/A","N/A","1.260E-05 g/L","10.26","620.537975414"
"DG(14:1(9Z)/22:2(13Z,16Z)/0:0)","8.1 +/- 1.0","N/A","N/A","1.130E-05 g/L","10.06","618.52232535"
"DG(14:1(9Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","0.961 +/- 0.023","N/A","N/A","1.660E-05 g/L","9.28","614.491025222"
"DG(14:1(9Z)/24:0/0:0)","0.013 +/- 0.005","N/A","N/A","1.550E-05 g/L","10.54","650.584925606"
"DG(14:1(9Z)/24:1(15Z)/0:0)","0.022 +/- 0.010","N/A","N/A","1.140E-05 g/L","10.48","648.569275542"
"DG(15:0/15:0/0:0)","0.58 +/- 0.21","N/A","N/A","2.180E-05 g/L","9.59","540.475375158"
"DG(16:0/14:0/0:0)","0.58 +/- 0.21","N/A","N/A","2.180E-05 g/L","9.59","540.475375158"
"DG(16:0/14:1(9Z)/0:0)","0.231 +/- 0.054","N/A","N/A","2.260E-05 g/L","9.47","538.459725094"
"DG(16:0/16:0/0:0)","1.42 +/- 0.42","N/A","N/A","2.040E-05 g/L","9.91","568.506675286"
"DG(16:0/16:1(9Z)/0:0)","1.07 +/- 0.14","N/A","N/A","1.970E-05 g/L","9.82","566.491025222"
"DG(16:0/18:0/0:0)","1.37 +/- 0.53","N/A","N/A","1.800E-05 g/L","10.16","596.537975414"
"DG(16:0/18:1(11Z)/0:0)","3.87 +/- 0.62","N/A","N/A","1.700E-05 g/L","10.10","594.52232535"
"DG(16:0/18:1(9Z)/0:0)","3.87 +/- 0.62","N/A","N/A","1.710E-05 g/L","10.10","594.52232535"
"DG(16:0/18:2(9Z,12Z)/0:0)","2.82 +/- 0.36","N/A","N/A","1.410E-05 g/L","10.00","592.506675286"
"DG(16:0/18:3(6Z,9Z,12Z)/0:0)","1.65 +/- 0.17","N/A","N/A","1.330E-05 g/L","9.81","590.491025222"
"DG(16:0/18:3(9Z,12Z,15Z)/0:0)","1.65 +/- 0.17","N/A","N/A","1.420E-05 g/L","9.79","590.491025222"
"DG(16:0/18:4(6Z,9Z,12Z,15Z)/0:0)","0.173 +/- 0.081","N/A","N/A","2.110E-05 g/L","9.46","588.475375158"
"DG(16:0/20:0/0:0)","0.69 +/- 0.19","N/A","N/A","1.670E-05 g/L","10.36","624.569275542"
"DG(16:0/20:1(11Z)/0:0)","1.24 +/- 0.33","N/A","N/A","1.600E-05 g/L","10.34","622.553625478"
"DG(16:0/20:2(11Z,14Z)/0:0)","4.06 +/- 0.54","N/A","N/A","1.250E-05 g/L","10.27","620.537975414"
"DG(16:0/20:3(5Z,8Z,11Z)/0:0)","8.1 +/- 1.0","N/A","N/A","1.120E-05 g/L","10.17","618.52232535"
"DG(16:0/20:3(8Z,11Z,14Z)/0:0)","8.1 +/- 1.0","N/A","N/A","1.130E-05 g/L","10.10","618.52232535"
"DG(16:0/20:4(5Z,8Z,11Z,14Z)/0:0)","5.28 +/- 0.65","N/A","N/A","1.610E-05 g/L","9.87","616.506675286"
"DG(16:0/20:4(8Z,11Z,14Z,17Z)/0:0)","5.28 +/- 0.65","N/A","N/A","1.590E-05 g/L","9.83","616.50667529"
"DG(16:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","0.961 +/- 0.023","N/A","N/A","1.610E-05 g/L","9.38","614.491025222"
"DG(16:0/22:0/0:0)","0.003","N/A","N/A","1.550E-05 g/L","10.51","652.60057567"
"DG(16:0/22:1(13Z)/0:0)","0.013 +/- 0.005","N/A","N/A","1.540E-05 g/L","10.52","650.584925606"
"DG(16:0/22:2(13Z,16Z)/0:0)","0.022 +/- 0.010","N/A","N/A","1.210E-05 g/L","10.48","648.569275542"
"DG(16:0/22:4(7Z,10Z,13Z,16Z)/0:0)","0.94 +/- 0.11","N/A","N/A","1.350E-05 g/L","10.14","644.537975414"
"DG(16:0/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)","1.61 +/- 0.20","N/A","N/A","1.230E-05 g/L","9.91","642.52232535"
"DG(16:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","1.61 +/- 0.20","N/A","N/A","1.240E-05 g/L","9.83","642.52232535"
"DG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","1.137 +/- 0.073","N/A","N/A","1.440E-05 g/L","9.34","640.506675286"
"DG(16:1(9Z)/14:0/0:0)","0.231 +/- 0.054","N/A","N/A","2.300E-05 g/L","9.46","538.459725094"
"DG(16:1(9Z)/14:1(9Z)/0:0)","0.032 +/- 0.009","N/A","N/A","1.840E-05 g/L","9.22","536.44407503"
"DG(16:1(9Z)/16:0/0:0)","1.07 +/- 0.14","N/A","N/A","1.970E-05 g/L","9.82","566.491025222"
"DG(16:1(9Z)/16:1(9Z)/0:0)","0.415 +/- 0.069","N/A","N/A","1.510E-05 g/L","9.63","564.475375158"
"DG(16:1(9Z)/18:0/0:0)","3.87 +/- 0.62","N/A","N/A","1.710E-05 g/L","10.10","594.52232535"
"DG(16:1(9Z)/18:1(11Z)/0:0)","2.82 +/- 0.36","N/A","N/A","1.400E-05 g/L","9.97","592.506675286"
"DG(16:1(9Z)/18:1(9Z)/0:0)","2.82 +/- 0.36","N/A","N/A","1.400E-05 g/L","9.98","592.506675286"
"DG(16:1(9Z)/18:2(9Z,12Z)/0:0)","1.65 +/- 0.17","N/A","N/A","1.360E-05 g/L","9.73","590.491025222"
"DG(16:1(9Z)/18:3(6Z,9Z,12Z)/0:0)","0.173 +/- 0.081","N/A","N/A","1.910E-05 g/L","9.39","588.475375158"
"DG(16:1(9Z)/18:3(9Z,12Z,15Z)/0:0)","0.173 +/- 0.081","N/A","N/A","1.930E-05 g/L","9.36","588.475375158"
"DG(16:1(9Z)/20:0/0:0)","1.24 +/- 0.33","N/A","N/A","1.630E-05 g/L","10.35","622.553625478"
"DG(16:1(9Z)/20:1(11Z)/0:0)","4.06 +/- 0.54","N/A","N/A","1.250E-05 g/L","10.26","620.537975414"
"DG(16:1(9Z)/20:2(11Z,14Z)/0:0)","8.1 +/- 1.0","N/A","N/A","1.130E-05 g/L","10.05","618.52232535"
"DG(16:1(9Z)/20:3(5Z,8Z,11Z)/0:0)","5.28 +/- 0.65","N/A","N/A","1.620E-05 g/L","9.84","616.506675286"
"DG(16:1(9Z)/20:3(8Z,11Z,14Z)/0:0)","5.28 +/- 0.65","N/A","N/A","1.760E-05 g/L","9.76","616.506675286"
"DG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","0.961 +/- 0.023","N/A","N/A","1.650E-05 g/L","9.32","614.491025222"
"DG(16:1(9Z)/20:4(8Z,11Z,14Z,17Z)/0:0)","0.961 +/- 0.023","N/A","N/A","1.660E-05 g/L","9.26","614.491025222"
"DG(16:1(9Z)/22:0/0:0)","0.013 +/- 0.005","N/A","N/A","1.550E-05 g/L","10.53","650.584925606"
"DG(16:1(9Z)/22:1(13Z)/0:0)","0.022 +/- 0.010","N/A","N/A","1.140E-05 g/L","10.47","648.569275542"
"DG(16:1(9Z)/22:2(13Z,16Z)/0:0)","0.28 +/- 0.02","N/A","N/A","1.010E-05 g/L","10.33","646.553625478"
"DG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","1.61 +/- 0.20","N/A","N/A","1.270E-05 g/L","9.76","642.52232535"
"DG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)","1.137 +/- 0.073","N/A","N/A","1.450E-05 g/L","9.29","640.506675286"
