"Name","Abundance in Blood (uM)","Melting Point (°C)","Boiling Point (°C)","Solubility (mg/mL)","LogP","Monoisotopic Molecular Weight (Da)"
"TG(16:1(9Z)/16:1(9Z)/18:0)","79.8 +/- 8.9","N/A","N/A","7.260E-06 g/L","10.72","830.736340876"
"TG(16:1(9Z)/16:1(9Z)/20:0)","139.5 +/- 10.0","N/A","N/A","7.620E-06 g/L","10.74","858.767641004"
"TG(16:1(9Z)/16:1(9Z)/18:1(9Z))","57.1 +/- 5.5","N/A","N/A","6.180E-06 g/L","10.71","828.720690811"
"TG(16:1(9Z)/16:1(9Z)/20:1(11Z))","214.8 +/- 22.0","N/A","N/A","6.420E-06 g/L","10.75","856.75199094"
"TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))","18.9 +/- 3.2","N/A","N/A","6.760E-06 g/L","10.67","826.705040747"
"TG(16:1(9Z)/18:1(9Z)/20:0)","21.5 +/- 4.3","N/A","N/A","7.670E-06 g/L","10.76","886.798941133"
"TG(16:1(9Z)/18:1(9Z)/18:1(9Z))","214.8 +/- 22.0","N/A","N/A","6.410E-06 g/L","10.75","856.75199094"
"TG(16:1(9Z)/18:1(9Z)/20:1(11Z))","69.1 +/- 9.5","N/A","N/A","6.510E-06 g/L","10.82","884.783291069"
"TG(16:1(9Z)/18:1(9Z)/18:2(9Z,12Z))","90.9 +/- 9.6","N/A","N/A","6.570E-06 g/L","10.75","854.736340876"
"TG(16:1(9Z)/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","36.5 +/- 2.6","N/A","N/A","7.870E-06 g/L","10.69","878.736340876"
"TG(16:1(9Z)/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))","23.5 +/- 2.6","N/A","N/A","7.970E-06 g/L","10.77","906.767641004"
"TG(16:1(9Z)/18:2(9Z,12Z)/20:0)","69.1 +/- 9.5","N/A","N/A","6.630E-06 g/L","10.83","884.783291069"
"TG(16:1(9Z)/18:2(9Z,12Z)/20:1(11Z))","68.5 +/- 10.3","N/A","N/A","6.440E-06 g/L","10.78","882.767641004"
"TG(16:1(9Z)/18:2(9Z,12Z)/18:2(9Z,12Z))","32.0 +/- 1.4","N/A","N/A","7.610E-06 g/L","10.65","852.720690811"
